Constant P_discharge /Power-Pack level,,,,,,,,,,,,,
SoC/T,0,5,10,20,30,40,50,60,70,80,90,95,100
-30,0,0,0,0,0,0,0,0,0,0,0,0,0
-25,1,1,1,1,1,1,1,1,1,1,1,1,1
-20,1,1,1,1,1,1,1,1,1,1,1,1,1
-15,1,1,1,1,1,1,1,1,1,1,1,1,1
-10,1,1,1,1,1,1,1,1,1,1,1,1,1
-5,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1
40,1,1,1,1,1,1,1,1,1,1,1,1,1
45,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,1,1,1,1,1,1,1,1,1,1,1
60,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0
